Straat,Coordinaten
Aardestraat,"[51.02593227767718, 4.525671254307539]"
Acacialaan,"[51.01957143843029, 4.580626531100882]"
Achterdiedonken,"[51.04181854713451, 4.548413136129268]"
Amerstraat,"[51.00031000880731, 4.585326528454361]"
Bakestraat,"[51.015458100000004, 4.6319257]"
Bareelveld,"[51.033394097532344, 4.516457492758875]"
Baxbos,"[51.011286223660534, 4.585414808301819]"
Befferdreef,"[51.030150974162005, 4.518380221359792]"
Berentrodedreef,"[51.0285144356721, 4.5635319356721]"
Berlaarbaan,"[51.041858, 4.5157877]"
Beukenlaan,"[51.01868722252188, 4.578367563780858]"
Bleukstraat,"[51.021078667661364, 4.6119867178850695]"
Boeimeerstraat,"[51.0099335228043, 4.558206700117801]"
Boerenkrijglaan,"[51.023244165881984, 4.5362110595396]"
Boortmeerbeeksebaan,"[50.9934919282919, 4.584883382358893]"
Boslaan,"[51.0346496966427, 4.560392099954182]"
Boterbosstraat,"[51.01743775345938, 4.612828091866485]"
Brakelberglei,"[51.007245055520414, 4.587193366701729]"
Brandheidestraat,"[51.0285135480086, 4.599013751425399]"
Bremlei,"[51.02494434240672, 4.579754628749667]"
Broekstraat,"[51.00790665, 4.5822104999999995]"
Brouwersdreef,"[51.024387746387575, 4.530770300830634]"
Brughoevestraat,"[51.0025656380723, 4.600535928684807]"
Brugstraat,"[51.00047679737012, 4.58572521555614]"
Bruinbeekstraat,"[51.03376509263383, 4.529154020315393]"
Canadadreef,"[51.0334546572991, 4.510414833623853]"
Candriesweg,"[""FOUT, geen straat gevonden""]"
Cassenbroek,"[51.0095196530089, 4.57162615368743]"
Coupurelei,"[51.00111663333818, 4.565902880314358]"
Cupidolaan,"[51.02204275, 4.58313505]"
De Bergen,"[51.016403403900796, 4.573762004984001]"
Dennengeurlaan,"[51.006891550000006, 4.590214400000001]"
Dennenlaan,"[51.01204606332086, 4.606972909737272]"
Dertien Eikenlaan,"[51.01729415969212, 4.55528315796706]"
